Name 	Demand
Item1	0.00521
Item2	0.00521
Item3	0.00521
Item4	0.00521
Item5	0.00521
Item6	0.00521
Item7	0.00521
Item8	0.00521
Item9	0.00521
Item10	0.00521
Item11	0.00521
Item12	0.00521
Item13	0.00521
Item14	0.00521
Item15	0.00521
Item16	0.00521
Item17	0.00521
Item18	0.00521
Item19	0.00521
Item20	0.00521
Item21	0.00521
Item22	0.00521
Item23	0.00521
Item24	0.00521
Item25	0.00521
Item26	0.00521
Item27	0.00521
Item28	0.00521
Item29	0.00521
Item30	0.00521
Item31	0.00521
Item32	0.00521
Item33	0.00521
Item34	0.00521
Item35	0.00521
Item36	0.00521
Item37	0.00521
Item38	0.00521
Item39	0.00521
Item40	0.00521
Item41	0.00521
Item42	0.00521
Item43	0.00521
Item44	0.00521
Item45	0.00521
Item46	0.00521
Item47	0.00521
Item48	0.00521
Item49	0.00521
Item50	0.00521
Item51	0.00521
Item52	0.00521
Item53	0.00521
Item54	0.00521
Item55	0.00521
Item56	0.00521
Item57	0.00521
Item58	0.00521
Item59	0.00521
Item60	0.00521
Item61	0.00521
Item62	0.00521
Item63	0.00521
Item64	0.00521
Item65	0.00521
Item66	0.00521
Item67	0.00521
Item68	0.00521
Item69	0.00521
Item70	0.00521
Item71	0.00521
Item72	0.00521
Item73	0.00521
Item74	0.00521
Item75	0.00521
Item76	0.00521
Item77	0.00521
Item78	0.00521
Item79	0.00521
Item80	0.00521
Item81	0.00521
Item82	0.00521
Item83	0.00521
Item84	0.00521
Item85	0.00521
Item86	0.00521
Item87	0.00521
Item88	0.00521
Item89	0.00521
Item90	0.00521
Item91	0.00521
Item92	0.00521
Item93	0.00521
Item94	0.00521
Item95	0.00521
Item96	0.00521
Item97	0.00521
Item98	0.00521
Item99	0.00521
Item100	0.00521
Item101	0.00521
Item102	0.00521
Item103	0.00521
Item104	0.00521
Item105	0.00521
Item106	0.00521
Item107	0.00521
Item108	0.00521
Item109	0.00521
Item110	0.00521
Item111	0.00521
Item112	0.00521
Item113	0.00521
Item114	0.00521
Item115	0.00521
Item116	0.00521
Item117	0.00521
Item118	0.00521
Item119	0.00521
Item120	0.00521
Item121	0.00521
Item122	0.00521
Item123	0.00521
Item124	0.00521
Item125	0.00521
Item126	0.00521
Item127	0.00521
Item128	0.00521
Item129	0.00521
Item130	0.00521
Item131	0.00521
Item132	0.00521
Item133	0.00521
Item134	0.00521
Item135	0.00521
Item136	0.00521
Item137	0.00521
Item138	0.00521
Item139	0.00521
Item140	0.00521
Item141	0.00521
Item142	0.00521
Item143	0.00521
Item144	0.00521
Item145	0.00521
Item146	0.00521
Item147	0.00521
Item148	0.00521
Item149	0.00521
Item150	0.00521
